province,LDR
Bangkok,128.05
Kanchanaburi,58.61
Chanthaburi,42.18
Chachoengsao,72.06
Chon Buri,78.52
Chai Nat,65.61
Trat,44.2
Nakhon Nayok,42.54
Nakhon Pathom,55.74
Nonthaburi,41
Pathum Thani,59.26
Prachuap Khiri Khan,57.7
Prachin Buri,80.24
Ayutthaya,73.19
Phetchaburi,64.93
Rayong,93.77
Ratchaburi,63.42
Lop Buri,74.08
Samut Prakan,56.07
Samut Songkhram,40.99
Samut Sakhon,55.68
Sa Kaeo,65.18
Saraburi,70.91
sing buri,48.61
Suphan Buri,58.98
Ang Thong,50.66
Kalasin,106.59
Khon Kaen,117.93
Chaiyaphum,81.04
Nakhon Phanom,81.27
Nakhon Ratchasima,98.3
Bueng Kan,122.03
Buriram,85.3
Mahasarakham,87
Mukdahan,98.47
Yasothon,113.76
Roi Et,153.46
Loei,92.13
Sisaket,103.22
Sakon Nakhon,116.77
Surin,114.74
Nong Khai,81.24
Nong Bua Lamphu,91.48
Amnat Charoen,118.41
Udon Thani,95.3
Ubon Ratchathani,121.95
Kamphaeng Phet,104.2
Chiang Rai,76.48
Chiang Mai,71.24
Tak,59.92
Nakhon Sawan,102.65
Nan,69.34
Phayao,74.08
Phichit,56.9
Phitsanulok,103.68
Phetchabun,92.33
Phrae,81.65
Mae Hong Son,70.36
Lampang,75.63
Lamphun,66.6
Sukhothai,49.77
Uttaradit,95.44
Uthai Thani,32.65
Krabi,130.03
Chumphon,60.25
Trang,99.47
Nakhon Si Thammarat,97.7
Narathiwat,53.49
Pattani,56.21
Phangnga,59.52
Phatthalung,80.97
Phuket,100.82
Yala,57.45
Ranong,35.93
Songkhla,83.21
Satun,79.59
Suratthani,87.55
